OrderDate,UserID,Product,Quantity,Price
2024-01-02T11:48:24.739Z,649,Smartphone,3,934.95
2024-08-23T11:48:24.739Z,998,Laptop,1,1163.67
2023-12-01T11:48:24.739Z,588,Smartwatch,5,777.07
2024-02-03T11:48:24.739Z,999,Tablet,4,1057.22
2024-07-31T11:48:24.739Z,911,Smartphone,2,1127.31
2023-10-23T11:48:24.739Z,337,Smartwatch,3,1891.0
2024-08-05T11:48:24.739Z,700,Smartwatch,3,1838.09
2023-12-28T11:48:24.739Z,774,Tablet,4,1205.83
2024-04-11T11:48:24.739Z,98,Tablet,4,1914.76
2024-10-02T11:48:24.739Z,162,Smartphone,2,592.84
2024-07-30T11:48:24.739Z,629,Headphones,4,1552.03
2023-10-22T11:48:24.739Z,703,Smartwatch,3,649.12
2023-12-20T11:48:24.739Z,913,Laptop,1,1629.47
2023-12-18T11:48:24.739Z,364,Smartphone,1,212.94
2024-08-08T11:48:24.739Z,515,Tablet,2,712.55
2023-12-14T11:48:24.739Z,620,Smartphone,3,1211.73
2024-06-19T11:48:24.739Z,612,Smartphone,4,1429.39
2024-01-04T11:48:24.739Z,711,Smartwatch,1,1512.41
2024-06-15T11:48:24.739Z,593,Smartwatch,4,784.44
2024-03-07T11:48:24.739Z,203,Smartphone,1,722.43
2024-10-13T11:48:24.739Z,148,Headphones,2,107.94
2023-10-15T11:48:24.739Z,480,Laptop,4,1213.03
2024-04-23T11:48:24.739Z,653,Laptop,3,1362.62
2023-11-06T11:48:24.739Z,418,Smartphone,4,1675.8
2023-12-13T11:48:24.739Z,811,Laptop,2,1882.3
2024-07-05T11:48:24.739Z,271,Laptop,1,1885.88
2024-01-29T11:48:24.739Z,451,Smartwatch,5,1420.77
2024-01-01T11:48:24.739Z,412,Smartphone,4,253.51
2024-01-07T11:48:24.739Z,405,Headphones,3,1298.79
2023-11-18T11:48:24.739Z,223,Headphones,3,1286.41
2024-02-29T11:48:24.739Z,829,Smartphone,3,1821.89
2024-02-24T11:48:24.739Z,880,Laptop,2,1720.58
2024-05-26T11:48:24.739Z,959,Tablet,1,1875.32
2024-04-30T11:48:24.739Z,296,Headphones,4,1320.54
2024-05-10T11:48:24.739Z,326,Smartwatch,4,808.04
2024-02-18T11:48:24.739Z,933,Laptop,3,1453.41
2024-09-10T11:48:24.739Z,606,Smartwatch,4,1263.53
2024-05-03T11:48:24.739Z,721,Smartphone,4,1000.25
2023-12-27T11:48:24.739Z,137,Smartwatch,2,1255.96
2024-01-08T11:48:24.739Z,219,Smartwatch,5,1422.17
2024-07-07T11:48:24.739Z,845,Tablet,5,549.8
2024-01-27T11:48:24.739Z,554,Tablet,2,1399.96
2024-03-31T11:48:24.739Z,976,Smartwatch,2,1283.88
2024-04-12T11:48:24.739Z,277,Laptop,4,189.48
2024-02-27T11:48:24.739Z,967,Tablet,1,1552.02
2024-01-10T11:48:24.739Z,20,Tablet,5,1803.02
2024-01-04T11:48:24.739Z,409,Smartwatch,4,1638.8
2024-10-04T11:48:24.739Z,989,Laptop,4,680.57
2024-05-29T11:48:24.739Z,842,Headphones,3,368.01
2023-11-05T11:48:24.739Z,1000,Smartwatch,1,548.4
2024-02-23T11:48:24.739Z,467,Headphones,1,1289.82
2024-05-12T11:48:24.739Z,288,Laptop,5,59.79
2024-07-13T11:48:24.739Z,619,Headphones,3,727.42
2024-08-25T11:48:24.739Z,544,Laptop,3,858.07
2024-07-11T11:48:24.739Z,84,Laptop,2,1135.62
2024-06-12T11:48:24.739Z,291,Smartphone,5,81.29
2024-07-10T11:48:24.739Z,170,Tablet,5,1526.28
2023-10-23T11:48:24.739Z,750,Laptop,4,1728.31
2024-08-14T11:48:24.739Z,19,Headphones,3,782.27
2024-08-10T11:48:24.739Z,624,Laptop,3,707.43
2024-05-26T11:48:24.739Z,430,Headphones,5,1732.45
2024-02-29T11:48:24.739Z,542,Smartphone,1,1984.76
2024-03-28T11:48:24.739Z,967,Smartphone,2,1740.9
2024-04-29T11:48:24.739Z,9,Headphones,4,992.31
2024-03-06T11:48:24.739Z,132,Smartwatch,5,296.4
2024-01-14T11:48:24.739Z,67,Tablet,5,1720.24
2024-01-17T11:48:24.739Z,863,Headphones,4,1214.96
2024-01-02T11:48:24.739Z,587,Smartwatch,1,864.61
2024-07-20T11:48:24.739Z,60,Laptop,5,1557.15
2024-08-21T11:48:24.739Z,948,Laptop,1,1575.36
2024-07-17T11:48:24.739Z,575,Headphones,3,1980.41
2023-12-10T11:48:24.739Z,923,Laptop,5,1847.81
2024-09-11T11:48:24.739Z,951,Laptop,4,1071.62
2024-04-11T11:48:24.739Z,507,Tablet,5,977.99
2024-05-02T11:48:24.739Z,316,Tablet,3,1397.96
2024-10-11T11:48:24.739Z,433,Laptop,4,1046.23
2023-12-22T11:48:24.739Z,348,Smartphone,3,126.27
2024-05-18T11:48:24.739Z,431,Laptop,2,851.65
2024-05-07T11:48:24.739Z,154,Smartwatch,1,1437.73
2023-12-28T11:48:24.739Z,183,Smartphone,4,1879.99
2024-03-05T11:48:24.739Z,401,Laptop,1,1235.13
2024-10-03T11:48:24.739Z,739,Headphones,3,678.39
2024-05-06T11:48:24.739Z,751,Laptop,4,192.63
2024-01-18T11:48:24.739Z,352,Smartphone,4,1858.5
2024-06-04T11:48:24.739Z,468,Headphones,1,83.77
2024-07-21T11:48:24.739Z,311,Laptop,4,1596.41
2024-04-18T11:48:24.739Z,99,Smartwatch,4,795.55
2023-11-11T11:48:24.739Z,237,Laptop,2,878.63
2024-07-05T11:48:24.739Z,666,Smartphone,4,1628.79
2024-04-20T11:48:24.739Z,475,Laptop,1,1292.59
2024-07-30T11:48:24.739Z,330,Smartphone,4,378.89
2024-08-26T11:48:24.739Z,732,Laptop,1,1853.52
2024-02-06T11:48:24.739Z,861,Headphones,5,1673.83
2023-11-24T11:48:24.739Z,574,Smartphone,1,339.24
2024-04-17T11:48:24.739Z,653,Smartphone,5,831.01
2023-12-14T11:48:24.739Z,284,Headphones,3,549.32
2023-11-13T11:48:24.739Z,755,Tablet,5,1670.36
2023-12-24T11:48:24.739Z,439,Laptop,4,1296.26
2024-01-11T11:48:24.739Z,996,Tablet,4,103.42
2024-01-05T11:48:24.739Z,841,Tablet,5,1820.51
2023-11-02T11:48:24.739Z,590,Tablet,5,348.39
2024-04-25T11:48:24.739Z,823,Smartphone,3,1686.54
2024-03-29T11:48:24.739Z,126,Tablet,1,577.44
2024-08-12T11:48:24.739Z,218,Tablet,4,1731.64
2024-10-05T11:48:24.739Z,636,Headphones,4,1079.75
2023-12-05T11:48:24.739Z,678,Tablet,3,150.36
2024-03-23T11:48:24.739Z,447,Laptop,5,1398.21
2024-03-15T11:48:24.739Z,27,Smartwatch,2,1245.85
2023-12-21T11:48:24.739Z,422,Laptop,2,676.77
2023-10-18T11:48:24.739Z,523,Tablet,5,1294.73
2023-11-20T11:48:24.739Z,114,Tablet,2,1301.3
2024-01-19T11:48:24.739Z,194,Tablet,2,731.11
2024-02-02T11:48:24.739Z,352,Laptop,1,377.46
2023-12-26T11:48:24.739Z,467,Smartphone,5,533.92
2024-04-06T11:48:24.739Z,565,Smartphone,1,545.96
2023-12-22T11:48:24.739Z,117,Smartwatch,3,716.64
2024-07-21T11:48:24.739Z,764,Headphones,4,1297.94
2024-02-13T11:48:24.739Z,994,Smartwatch,3,710.68
2023-11-19T11:48:24.739Z,719,Headphones,5,1239.81
2024-03-17T11:48:24.739Z,810,Smartphone,1,382.59
2024-07-06T11:48:24.739Z,326,Smartphone,5,362.76
2023-11-07T11:48:24.739Z,855,Smartphone,3,1108.73
2023-11-28T11:48:24.739Z,142,Tablet,4,709.84
2024-02-10T11:48:24.739Z,677,Headphones,3,1119.11
2023-12-16T11:48:24.739Z,817,Headphones,2,1887.76
2024-02-17T11:48:24.739Z,595,Smartphone,5,1982.78
2024-07-09T11:48:24.739Z,623,Tablet,1,1485.86
2024-01-16T11:48:24.739Z,924,Smartwatch,2,1939.63
2024-02-23T11:48:24.739Z,835,Tablet,4,457.13
2024-02-14T11:48:24.739Z,350,Smartphone,2,1679.85
2024-10-10T11:48:24.739Z,435,Laptop,1,1912.58
2024-05-03T11:48:24.739Z,403,Laptop,5,272.94
2024-05-28T11:48:24.739Z,220,Laptop,4,537.77
2024-08-25T11:48:24.739Z,897,Smartwatch,1,1502.12
2024-02-28T11:48:24.739Z,469,Headphones,2,1419.74
2024-09-26T11:48:24.739Z,702,Smartwatch,1,1997.01
2024-07-21T11:48:24.739Z,597,Smartphone,2,597.62
2024-03-08T11:48:24.739Z,152,Smartwatch,3,1102.2
2023-11-06T11:48:24.739Z,255,Laptop,2,291.97
2024-01-09T11:48:24.739Z,484,Laptop,4,1143.41
2024-05-30T11:48:24.739Z,896,Smartwatch,1,1222.64
2024-03-20T11:48:24.739Z,58,Smartphone,3,1882.3
2024-04-30T11:48:24.739Z,93,Headphones,3,1575.16
2024-08-25T11:48:24.739Z,850,Smartphone,5,928.03
2024-02-20T11:48:24.739Z,562,Tablet,1,145.03
2024-01-26T11:48:24.739Z,360,Smartphone,3,253.34
2024-01-31T11:48:24.739Z,794,Smartwatch,4,630.73
2023-12-01T11:48:24.739Z,102,Laptop,5,1716.25
2024-06-30T11:48:24.739Z,705,Laptop,4,1703.13
2024-02-06T11:48:24.739Z,564,Headphones,4,562.71
2024-09-15T11:48:24.739Z,900,Smartphone,3,363.88
2024-06-29T11:48:24.739Z,46,Smartphone,1,185.06
2023-12-28T11:48:24.739Z,507,Headphones,2,1344.33
2024-05-12T11:48:24.739Z,72,Tablet,3,1260.4
2024-09-28T11:48:24.739Z,979,Smartphone,3,141.32
2023-11-16T11:48:24.739Z,545,Tablet,4,931.11
2023-12-11T11:48:24.739Z,638,Headphones,2,921.05
2024-03-28T11:48:24.739Z,407,Smartwatch,4,254.58
2024-07-22T11:48:24.739Z,120,Headphones,2,128.77
2024-07-13T11:48:24.739Z,902,Smartwatch,1,1552.76
2024-07-06T11:48:24.739Z,470,Tablet,1,793.71
2024-06-05T11:48:24.739Z,840,Laptop,3,563.65
2024-06-14T11:48:24.739Z,547,Smartwatch,3,1493.04
2023-11-17T11:48:24.739Z,854,Laptop,3,1743.28
2024-05-20T11:48:24.739Z,953,Smartwatch,5,1317.11
2023-11-03T11:48:24.739Z,365,Smartphone,4,1532.22
2024-10-01T11:48:24.739Z,113,Laptop,1,70.1
2023-12-18T11:48:24.739Z,776,Laptop,4,1753.49
2024-01-23T11:48:24.739Z,174,Smartphone,5,1578.71
2024-07-19T11:48:24.739Z,896,Smartphone,2,1949.98
2023-10-17T11:48:24.739Z,20,Smartphone,5,331.59
2024-08-08T11:48:24.739Z,792,Smartphone,2,1504.98
2024-08-09T11:48:24.739Z,570,Smartphone,2,1398.58
2024-08-29T11:48:24.739Z,953,Laptop,2,1681.06
2023-10-18T11:48:24.739Z,511,Smartwatch,2,1455.5
